actual,predicted,correct
Rename Method,Change Method Access Modifier,False
Extract Method,Change Method Access Modifier,False
Extract Method,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Remove Method Annotation,Change Method Access Modifier,False
Add Method Modifier,Change Method Access Modifier,False
Extract Method,Change Method Access Modifier,False
Rename Variable,Change Method Access Modifier,False
Add Parameter,Change Method Access Modifier,False
Add Parameter,Change Method Access Modifier,False
Rename Method,Change Method Access Modifier,False
Rename Parameter,Change Method Access Modifier,False
Rename Parameter,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Remove Parameter Annotation,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Remove Method Annotation,Change Method Access Modifier,False
Remove Method Annotation,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Remove Method Annotation,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Remove Method Annotation,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Method,Change Method Access Modifier,False
Extract Method,Change Method Access Modifier,False
Extract Method,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Remove Parameter,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Remove Method Annotation,Change Method Access Modifier,False
Remove Method Annotation,Change Method Access Modifier,False
Remove Method Annotation,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Merge Conditional,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Add Attribute Annotation,Change Method Access Modifier,False
Add Attribute Annotation,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Add Parameter Annotation,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Add Attribute Annotation,Change Method Access Modifier,False
Add Parameter Annotation,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Add Attribute Annotation,Change Method Access Modifier,False
Add Parameter Annotation,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Extract Method,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Remove Parameter Annotation,Change Method Access Modifier,False
Add Parameter Annotation,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Rename Variable,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Remove Method Annotation,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Remove Method Annotation,Change Method Access Modifier,False
Remove Method Annotation,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Extract Method,Change Method Access Modifier,False
Remove Method Annotation,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Add Parameter Annotation,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Rename Parameter,Change Method Access Modifier,False
Add Attribute Modifier,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Inline Variable,Change Method Access Modifier,False
Remove Method Annotation,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Extract Method,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Remove Parameter Annotation,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Extract Method,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Remove Method Annotation,Change Method Access Modifier,False
Remove Method Annotation,Change Method Access Modifier,False
Remove Method Annotation,Change Method Access Modifier,False
Add Method Annotation,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Change Attribute Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Rename Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Extract Variable,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Add Parameter Annotation,Change Method Access Modifier,False
Change Variable Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Return Type,Change Method Access Modifier,False
Change Parameter Type,Change Method Access Modifier,False
Add Parameter Annotation,Change Method Access Modifier,False
